Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
,12282,COSC,105,0,OA1,3,Computing and Social Responsibility,,TBA,30,26,4,0,0,0,0,0,0,Zenia Christine Bahorski (P),08/30-12/17,ONLINE,Gen Ed Global Awareness
,14288,COSC,106,0,M1,3,Explorations in Robotics,MW,02:00 pm-03:50 pm,30,7,23,0,0,0,0,0,0,Li Zhang (P),08/30-12/17,TBA,Gen Ed Quantve Reasoning
,12255,COSC,111,0,M1,3,Intro to Programming,MW,11:00 am-12:50 pm,30,9,21,0,0,0,0,0,0,TBA,08/30-12/17,TBA,
,12258,COSC,111,10,M1,3,Intro to Programming,MW,01:00 pm-02:50 pm,30,22,8,0,0,0,0,0,0,Zenia Christine Bahorski (P),08/30-12/17,TBA,
,12260,COSC,111,11,M1,3,Intro to Programming,MW,05:30 pm-07:10 pm,30,13,17,0,0,0,0,0,0,William C Sverdlik (P),08/30-12/17,TBA,
,12279,COSC,111,12,M1,3,Intro to Programming,TR,11:00 am-12:50 pm,30,3,27,0,0,0,0,0,0,TBA,08/30-12/17,TBA,
,12839,COSC,112,0,OA1,1,Intro to Programmng Online Lab,,TBA,150,49,101,0,0,0,0,0,0,Augustine Ikeji (P),08/30-12/17,ONLINE,
,12261,COSC,146,0,M1,3,Applied Programming&Scripting,MW,09:00 am-10:50 am,30,19,11,0,0,0,0,0,0,William C Sverdlik (P),08/30-12/17,TBA,
,12272,COSC,146,10,M1,3,Applied Programming&Scripting,MW,01:00 pm-02:50 pm,30,12,18,0,0,0,0,0,0,Weitian Tong (P),08/30-12/17,TBA,
,12265,COSC,211,0,M1,3,Programming Data Structures,MW,05:30 pm-07:10 pm,30,12,18,0,0,0,0,0,0,Andrii Kashliev (P),08/30-12/17,TBA,
,12267,COSC,211,10,M1,3,Programming Data Structures,TR,09:00 am-10:50 am,30,19,11,0,0,0,0,0,0,Elsa Poh (P),08/30-12/17,TBA,
,12271,COSC,211,11,M1,3,Programming Data Structures,TR,01:00 pm-02:50 pm,30,15,15,0,0,0,0,0,0,Aby Tehranipour (P),08/30-12/17,TBA,
,12283,COSC,212,0,OA1,1,Prgmng Data Struct Online Lab,,TBA,90,47,43,0,0,0,0,0,0,Augustine Ikeji (P),08/30-12/17,ONLINE,
C,12256,COSC,221,0,M1,3,Computer Organization I,MW,11:00 am-12:50 pm,30,30,0,10,0,10,0,0,0,William C Sverdlik (P),08/30-12/17,TBA,
,12280,COSC,221,10,M1,3,Computer Organization I,TR,03:00 pm-04:50 pm,30,13,17,10,0,10,0,0,0,Elsa Poh (P),08/30-12/17,TBA,
