Sections Found,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,,,,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute,,,
SR,10268,ACC,130,0,M1,3,Acctg for Nonbusiness Majors,W,06:30 pm-09:10 pm,35,0,35,99,0,99,0,0,0,TBA,08/30-12/17,TBA,,,,
SR,10259,ACC,240,0,OA1,3,Principles of Financial Acct,,TBA,35,3,32,99,0,99,0,0,0,Barbara Waddington Ross (P),08/30-12/17,ONLINE,,,,
SR,10260,ACC,240,10,M1,3,Principles of Financial Acct,TR,10:00 am-11:15 am,35,1,34,99,0,99,0,0,0,Anthony Daniel Kurek (P),08/30-12/17,TBA,,,,
SR,10261,ACC,240,11,OA1,3,Principles of Financial Acct,,TBA,35,0,35,99,0,99,0,0,0,Susan W Martin (P),08/30-12/17,ONLINE,,,,
SR,10262,ACC,240,12,M1,3,Principles of Financial Acct,TR,11:30 am-12:45 pm,35,0,35,99,0,99,0,0,0,Anthony Daniel Kurek (P),08/30-12/17,TBA,,,,
SR,10572,ACC,240,13,M1,3,Principles of Financial Acct,MW,08:30 am-09:45 am,35,0,35,99,0,99,0,0,0,TBA,08/30-12/17,TBA,,,,
SR,10967,ACC,240,14,OA1,3,Principles of Financial Acct,,TBA,35,0,35,99,0,99,0,0,0,Barbara Waddington Ross (P),08/30-12/17,ONLINE,,,,
SR,11571,ACC,240,15,MS1,3,Principles of Financial Acct,M,11:30 am-12:45 pm,25,5,20,99,0,99,0,0,0,Howard Bunsis (P),08/30-12/17,ONLINE,Honors Only Section,,,
,,,,,,,,W,11:30 am-12:45 pm,,,,,,,,,,Howard Bunsis (P),08/30-11/17,TBA,Honors Only Section,,,
,,,,,,,,W,11:30 am-12:45 pm,,,,,,,,,,Howard Bunsis (P),12/01-12/01,ONLINE,Honors Only Section,,,
,,,,,,,,W,11:30 am-12:45 pm,,,,,,,,,,Howard Bunsis (P),12/08-12/08,ONLINE,Honors Only Section,,,
SR,12056,ACC,240,16,OA1,3,Principles of Financial Acct,,TBA,35,0,35,99,0,99,0,0,0,Susan W Martin (P),08/30-12/17,ONLINE,,,,
SR,12537,ACC,240,17,M1,3,Principles of Financial Acct,T,06:30 pm-09:10 pm,35,0,35,99,0,99,0,0,0,Anthony Daniel Kurek (P),08/30-12/17,TBA,,,,
SR,10263,ACC,241,0,OA1,3,Principles of Managerial Acct,,TBA,35,0,35,99,0,99,0,0,0,Lois S Mahoney (P),08/30-12/17,ONLINE,,,,
SR,10264,ACC,241,10,OS1,3,Principles of Managerial Acct,TR,10:00 am-11:15 am,35,0,35,99,0,99,0,0,0,Priyanka Meharia (P),08/30-12/17,ONLINE,,,,
SR,10265,ACC,241,11,OA1,3,Principles of Managerial Acct,,TBA,35,1,34,99,0,99,0,0,0,Priyanka Meharia (P),08/30-12/17,ONLINE,,,,
SR,10266,ACC,241,12,M1,3,Principles of Managerial Acct,MW,01:00 pm-02:15 pm,35,3,32,99,0,99,0,0,0,Randall J Hucks (P),08/30-12/17,TBA,,,,
SR,10482,ACC,241,13,M1,3,Principles of Managerial Acct,MW,02:30 pm-03:45 pm,35,0,35,99,0,99,0,0,0,TBA,08/30-12/17,TBA,,,,
SR,14597,ACC,241,14,M1,3,Principles of Managerial Acct,W,06:30 pm-09:10 pm,35,0,35,99,0,99,0,0,0,TBA,08/30-12/17,TBA,,,,
SR,11085,ACC,246,0,M1,3,Acctg for Public Adminis,R,06:30 pm-09:10 pm,10,0,10,99,0,99,25,0,25,TBA,08/30-12/17,TBA,,,,
SR,12501,ACC,285L4,0,M1,2,Co-op Education in Accounting,,TBA,1,0,1,0,0,0,0,0,0,D Robert Okopny (P),08/30-12/17,TBA,Gen Ed Lrng Beyond Clsrm,,,
SR,11318,ACC,286L4,0,M1,1,Co-op Education in Accounting,,TBA,1,0,1,0,0,0,0,0,0,D Robert Okopny (P),08/30-12/17,TBA,Gen Ed Lrng Beyond Clsrm,,,
SR,11669,ACC,287L4,0,M1,3,Co-op Education in Accounting,,TBA,2,0,2,0,0,0,0,0,0,D Robert Okopny (P),08/30-12/17,TBA,Gen Ed Lrng Beyond Clsrm,,,
SR,10370,ACC,296,0,M1,3,The Accounting Cycle & Profess,TR,01:00 pm-02:15 pm,28,1,27,99,0,99,0,0,0,Daniel Brickner (P),08/30-12/17,TBA,,,,
SR,12313,ACC,296,10,M1,3,The Accounting Cycle & Profess,R,06:30 pm-09:10 pm,28,0,28,99,0,99,0,0,0,Daniel Brickner (P),08/30-12/17,TBA,,,,
SR,10881,ACC,340,0,MA1,3,Intermediate Accounting I,,TBA,25,0,25,99,0,99,0,0,0,William D LaGore (P),08/30-12/17,ONLINE,,,,
,,,,,,,,T,01:00 pm-02:15 pm,,,,,,,,,,William D LaGore (P),09/28-09/28,TBA,,,,
,,,,,,,,R,01:00 pm-02:15 pm,,,,,,,,,,William D LaGore (P),09/30-09/30,TBA,,,,
,,,,,,,,T,01:00 pm-02:15 pm,,,,,,,,,,William D LaGore (P),10/26-10/26,TBA,,,,
,,,,,,,,R,01:00 pm-02:15 pm,,,,,,,,,,William D LaGore (P),10/28-10/28,TBA,,,,
,,,,,,,,T,01:00 pm-02:15 pm,,,,,,,,,,William D LaGore (P),12/07-12/07,TBA,,,,
,,,,,,,,R,01:00 pm-02:15 pm,,,,,,,,,,William D LaGore (P),12/09-12/09,TBA,,,,
SR,11083,ACC,340,10,MA1,3,Intermediate Accounting I,,TBA,25,1,24,99,0,99,0,0,0,William D LaGore (P),08/30-12/17,ONLINE,,,,
,,,,,,,,T,06:30 pm-09:10 pm,,,,,,,,,,William D LaGore (P),09/28-09/28,TBA,,,,
,,,,,,,,T,06:30 pm-09:10 pm,,,,,,,,,,William D LaGore (P),10/26-10/26,TBA,,,,
,,,,,,,,T,06:30 pm-09:10 pm,,,,,,,,,,William D LaGore (P),12/07-12/07,TBA,,,,
SR,10571,ACC,342,0,MA1,3,Managerial Cost Accounting,,TBA,25,1,24,99,0,99,0,0,0,Jens A Stephan (P),08/30-12/17,ONLINE,,,,
,,,,,,,,T,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),08/31-08/31,TBA,,,,
,,,,,,,,R,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),09/02-09/02,TBA,,,,
